Transaction_ID,Items,Time_Stamp
T0086,"White Rice, Fish, Mallum, Pumpkin, Fried Fish",2025-11-16 11:24 AM
T0087,"Red Rice, Coconut Sambol, Potato Tempered, Papadam, Chicken Curry",2025-11-16 11:24 AM
T0088,"String Hoppers, Chilli Paste, Fried Fish, Pumpkin",2025-11-16 11:24 AM
T0089,"String Hoppers, Pol Sambol, Fish Ambul Thiyal, Papadam, Pumpkin, Dhal",2025-11-16 11:25 AM
T0090,"White Rice, Chicken Curry, Devilled Chicken, Kiri Hodi, Papadam, Chicken",2025-11-16 11:25 AM
T0091,"White Rice, Coconut Sambol, Gotukola, Jackfruit, Chop Suey",2025-11-16 11:25 AM
T0092,"White Rice, Dried Fish, Pumpkin",2025-11-16 11:25 AM
T0093,"String Hoppers, Papadam, Fish, Mallum, Gotukola",2025-11-16 11:26 AM
T0094,"Fried Rice, Fish Ambul Thiyal, Coconut Sambol",2025-11-16 11:26 AM
T0095,"White Rice, Mallum, Fish Ambul Thiyal",2025-11-16 11:26 AM
T0096,"Red Rice, Brinjal Moju, Kiri Hodi, Papadam, Devilled Chicken",2025-11-16 11:26 AM
T0097,"Red Rice, Chilli Paste, Chicken Curry, Gotukola, Fried Egg",2025-11-16 11:27 AM
T0098,"Red Rice, Pol Sambol, Papadam, Chop Suey",2025-11-16 11:27 AM
T0099,"Fried Rice, Chicken, Fish Ambul Thiyal, Chop Suey",2025-11-16 11:27 AM
T0100,"White Rice, Papadam, Dhal, Potato Tempered, Devilled Chicken, Coconut Sambol",2025-11-16 11:27 AM
T0101,"White Rice, Pumpkin, Fish Ambul Thiyal, Dried Fish",2025-11-16 11:27 AM
T0102,,2025-11-16 11:27 AM
T0103,"Red Rice, Fish, Papadam, Fried Fish, Dhal, Chilli Paste",2025-11-16 11:28 AM
T0104,"Fried Rice, Brinjal Moju, Pumpkin, Fried Fish, Chicken, Fish Ambul Thiyal",2025-11-16 11:28 AM
T0105,"Red Rice, Papadam, Fried Egg, Dhal",2025-11-16 11:28 AM
T0106,"Red Rice, Fried Egg, Chicken, Pol Sambol",2025-11-16 11:28 AM
T0107,"String Hoppers, Mallum, Dhal",2025-11-16 11:28 AM
T0108,"String Hoppers, Pumpkin, Jackfruit, Chop Suey, Fried Egg",2025-11-16 11:29 AM
T0109,"White Rice, Papadam, Jackfruit, Kiri Hodi, Chicken Curry",2025-11-16 11:29 AM
T0110,"Fried Rice, Dried Fish, Coconut Sambol, Fried Egg, pol_sambol, Fish Ambul Thiyal",2025-11-16 11:29 AM
T0111,"Red Rice, Kiri Hodi, Pumpkin",2025-11-16 11:29 AM
T0112,"Red Rice, Chilli Paste, Potato Tempered, Fried Fish, Kiri Hodi",2025-11-16 11:30 AM
T0113,"Red Rice, Coconut Sambol, Dried Fish, Chop Suey, Dhal",2025-11-16 11:30 AM
T0114,"String Hoppers, Papadam, Chicken Curry, Mallum",2025-11-16 11:31 AM
T0115,"String Hoppers, Fried Egg, Mallum, Fried Fish, Devilled Chicken",2025-11-16 11:31 AM
T0116,"Red Rice, Potato Tempered, Pumpkin, Dhal",2025-11-16 11:31 AM
T0117,"String Hoppers, Fried Fish, Chicken",2025-11-16 11:32 AM
T0118,"Fried Rice, Pol Sambol, Chilli Paste, Mallum",2025-11-16 11:32 AM
T0119,"White Rice, Chicken, Potato Tempered, Gotukola, Pumpkin",2025-11-16 11:32 AM
T0120,"String Hoppers, Fried Fish, Jackfruit",2025-11-16 11:32 AM
T0121,"Fried Rice, Chicken, Kiri Hodi",2025-11-16 11:33 AM
T0122,"Fried Rice, Mallum, Chicken Curry, Potato Tempered, Fried Fish",2025-11-16 11:33 AM
T0123,"Red Rice, Fish Ambul Thiyal, Brinjal Moju, Coconut Sambol",2025-11-16 11:33 AM
T0124,"Fried Rice, Kiri Hodi, Mallum, Fried Egg, Devilled Chicken",2025-11-16 11:33 AM
T0125,"Fried Rice, Gotukola, Dhal, Fish Ambul Thiyal, Chicken Curry, Papadam",2025-11-16 11:34 AM
T0126,"String Hoppers, Devilled Chicken, Mallum, Fish Ambul Thiyal, Brinjal Moju",2025-11-16 11:34 AM
T0127,"String Hoppers, Devilled Chicken, Fried Fish, Brinjal Moju, Papadam, Potato Tempered",2025-11-16 11:35 AM
T0128,"White Rice, Fish, Mallum",2025-11-16 11:35 AM
T0129,"White Rice, Fried Egg, Jackfruit, Chop Suey, Dhal",2025-11-16 11:35 AM
T0130,"Red Rice, Kiri Hodi, Chicken, Pumpkin, Papadam, Fish",2025-11-16 11:35 AM
T0131,"String Hoppers, Devilled Chicken, Dried Fish, Chicken Curry",2025-11-16 11:36 AM
T0132,"Fried Rice, Coconut Sambol, Chilli Paste, Chop Suey",2025-11-16 11:37 AM
T0133,"Red Rice, Devilled Chicken, Chilli Paste, Dhal, Chicken Curry, Gotukola",2025-11-16 11:37 AM
T0134,"White Rice, Gotukola, Fried Egg, Kiri Hodi, Mallum, Brinjal Moju",2025-11-16 11:37 AM
T0135,"Fried Rice, Chicken Curry, Brinjal Moju",2025-11-16 11:38 AM
T0136,"White Rice, Fish, Devilled Chicken",2025-11-16 11:39 AM
T0137,"White Rice, Dried Fish, Brinjal Moju, Coconut Sambol, Pumpkin",2025-11-16 11:39 AM
T0138,"Red Rice, Potato Tempered, Chilli Paste, Fish, Kiri Hodi",2025-11-16 11:39 AM
T0139,"White Rice, Fried Egg, Dried Fish, Devilled Chicken, Jackfruit, Chilli Paste",2025-11-16 11:39 AM
T0140,"Fried Rice, Chicken Curry, Chilli Paste, Dried Fish, Devilled Chicken, Papadam",2025-11-16 11:39 AM
T0141,"String Hoppers, Chop Suey, Dhal, Chilli Paste, Mallum, Coconut Sambol",2025-11-16 11:39 AM
T0142,"White Rice, Jackfruit, Chilli Paste, Fish",2025-11-16 11:40 AM
T0143,"White Rice, Devilled Chicken, Chop Suey, Potato Tempered",2025-11-16 11:40 AM
T0144,"White Rice, Fish Ambul Thiyal, Potato Tempered, Brinjal Moju, Kiri Hodi, Papadam",2025-11-16 11:40 AM
T0145,"White Rice, Fried Egg, Pol Sambol, Dhal",2025-11-16 11:40 AM
T0146,"White Rice, Mallum, Chilli Paste, Pumpkin",2025-11-16 11:40 AM
T0147,"White Rice, Gotukola, Fish",2025-11-16 11:40 AM
T0148,"String Hoppers, Fried Fish, Jackfruit",2025-11-16 11:40 AM
T0149,"White Rice, Chop Suey, Brinjal Moju, Fried Egg, Gotukola, Chicken Curry",2025-11-16 11:41 AM
T0150,"String Hoppers, Kiri Hodi, Gotukola, Chilli Paste",2025-11-16 11:41 AM
T0151,"Fried Rice, Fish Ambul Thiyal, Coconut Sambol, Kiri Hodi",2025-11-16 11:41 AM
T0152,"Red Rice, Dried Fish, Fried Egg, Mallum",2025-11-16 11:41 AM
T0153,"Red Rice, Chicken, Chilli Paste",2025-11-16 11:41 AM
T0154,"String Hoppers, Chop Suey, Potato Tempered, Gotukola",2025-11-16 11:42 AM
T0155,"String Hoppers, Papadam, Chilli Paste",2025-11-16 11:42 AM
T0156,"Red Rice, Brinjal Moju, Mallum",2025-11-16 11:42 AM
T0157,"Red Rice, Chilli Paste, Pol Sambol, Devilled Chicken, Pumpkin, Fried Egg",2025-11-16 11:43 AM
T0158,"String Hoppers, Devilled Chicken, Kiri Hodi, Chop Suey, Potato Tempered, Pol Sambol",2025-11-16 11:43 AM
T0159,"String Hoppers, Jackfruit, Fried Fish, Papadam",2025-11-16 11:44 AM
T0160,"String Hoppers, Chicken, Dhal, Chop Suey, Chilli Paste",2025-11-16 11:45 AM
T0161,"Red Rice, Fried Egg, Chicken, Fish Ambul Thiyal, Pol Sambol, Devilled Chicken",2025-11-16 11:45 AM
T0162,"Fried Rice, Papadam, Pol Sambol, Kiri Hodi, Devilled Chicken",2025-11-16 11:45 AM
T0163,"String Hoppers, Pol Sambol, Papadam, Chop Suey",2025-11-16 11:45 AM
T0164,"Fried Rice, Fish, Fried Fish, Kiri Hodi, Devilled Chicken, Dried Fish",2025-11-16 11:45 AM
T0165,"Red Rice, Coconut Sambol, Gotukola, Potato Tempered",2025-11-16 11:46 AM
T0166,"White Rice, Fish Ambul Thiyal, Papadam, Pumpkin, Gotukola, Dried Fish",
T0167,"Red Rice, Mallum, Brinjal Moju",2025-11-16 11:48 AM
T0168,"String Hoppers, Jackfruit, Fish",2025-11-16 11:48 AM
T0169,"Red Rice, Dried Fish, Fried Egg",2025-11-16 11:48 AM
T0170,"Fried Rice, Gotukola, Brinjal Moju",2025-11-16 11:48 AM
T0171,"String Hoppers, Chicken, Chilli Paste",2025-11-16 11:49 AM
T0172,"Red Rice, Chop Suey, Gotukola, Pumpkin",2025-11-16 11:49 AM
T0173,"Fried Rice, Fried Egg, Dhal, Gotukola",2025-11-16 11:49 AM
T0174,"Red Rice, Dried Fish, Devilled Chicken, Fried Egg, Kiri Hodi",2025-11-16 11:49 AM
T0175,"White Rice, Jackfruit, Fried Egg",2025-11-16 11:49 AM
T0176,"Fried Rice, Devilled Chicken, Fish, Chicken Curry, Chicken",2025-11-16 11:50 AM
T0177,"Red Rice, Gotukola, Pol Sambol, Chilli Paste, Potato Tempered",2025-11-16 11:50 AM
T0178,"Fried Rice, Potato Tempered, Chilli Paste, Fish, Papadam",2025-11-16 11:50 AM
T0179,"Fried Rice, Dried Fish, Kiri Hodi, Brinjal Moju, Chicken Curry, Fish Ambul Thiyal",2025-11-16 11:50 AM
T0180,"String Hoppers, Kiri Hodi, Dhal, Brinjal Moju, Potato Tempered, Fish",2025-11-16 11:51 AM
T0181,"White Rice, Fish Ambul Thiyal, Pol Sambol, Devilled Chicken",2025-11-16 11:51 AM
T0182,"Red Rice, Chicken Curry, Fried Fish, Jackfruit, Dried Fish",2025-11-16 11:52 AM
T0183,"Fried Rice, Papadam, Gotukola",2025-11-16 11:52 AM
T0184,"String Hoppers, Devilled Chicken, Chicken, Kiri Hodi, Fish",2025-11-16 11:53 AM
T0185,"White Rice, Chicken, Chicken Curry, Chop Suey, Fish, Fried Egg",2025-11-16 11:53 AM
T0186,"Fried Rice, Potato Tempered, Fried Egg, Jackfruit",2025-11-16 11:53 AM
T0187,"String Hoppers, Papadam, Pumpkin",2025-11-16 11:53 AM
T0188,"String Hoppers, Chop Suey, Fish Ambul Thiyal, Brinjal Moju, Fish",2025-11-16 11:54 AM
T0189,"Fried Rice, Chicken Curry, Kiri Hodi, Mallum, Pumpkin, Chilli Paste",2025-11-16 11:54 AM
T0190,"String Hoppers, Papadam, Pumpkin, Chilli Paste, Devilled Chicken, Dried Fish",2025-11-16 11:54 AM
T0191,"White Rice, Potato Tempered, Chilli Paste, Coconut Sambol, Fish Ambul Thiyal, Dhal",2025-11-16 11:54 AM
T0192,"Red Rice, Dried Fish, Kiri Hodi, Potato Tempered",2025-11-16 11:54 AM
T0193,"Fried Rice, Chop Suey, Fish, Gotukola, Papadam",2025-11-16 11:54 AM
T0194,"Fried Rice, Chop Suey, Fish Ambul Thiyal, Devilled Chicken, Gotukola, Brinjal Moju",2025-11-16 11:54 AM
T0195,"String Hoppers, Pol Sambol, Devilled Chicken, Chop Suey",2025-11-16 11:55 AM
T0196,"Fried Rice, Gotukola, Kiri Hodi, Mallum, Chicken Curry, Potato Tempered",2025-11-16 11:55 AM
T0197,"Fried Rice, Papadam, Pol Sambol, Dried Fish",2025-11-16 11:55 AM
T0198,"White Rice, Dhal, Gotukola, Pol Sambol, Brinjal Moju, Mallum",2025-11-16 11:56 AM
T0199,"Fried Rice, Fried Fish, Fish, Papadam, Pumpkin, Dried Fish",2025-11-16 11:56 AM
T0200,"White Rice, Chicken, Fish",2025-11-16 11:56 AM
T0201,"String Hoppers, Fish, Devilled Chicken, Chop Suey, Papadam",2025-11-16 11:56 AM
T0202,"Fried Rice, Dhal, Pol Sambol, Potato Tempered, Devilled Chicken",2025-11-16 11:56 AM
T0203,"White Rice, Fried Fish, Devilled Chicken, Fish Ambul Thiyal",2025-11-16 11:56 AM
T0204,"String Hoppers, Jackfruit, Dried Fish, Fried Fish, Coconut Sambol, Mallum",2025-11-16 11:57 AM
T0205,"White Rice, Pol Sambol, Chop Suey, Kiri Hodi, Dried Fish",2025-11-16 11:57 AM
T0206,"Red Rice, Gotukola, Fish Ambul Thiyal",2025-11-16 11:57 AM
T0207,"White Rice, Fish Ambul Thiyal, Fried Fish, Fish, Dried Fish",2025-11-16 11:57 AM
T0208,"String Hoppers, Kiri Hodi, Chilli Paste, Coconut Sambol, Pol Sambol",2025-11-16 11:58 AM
T0209,"Red Rice, Chicken Curry, Fish, Jackfruit",2025-11-16 11:58 AM
T0210,"String Hoppers, Potato Tempered, Jackfruit",2025-11-16 11:58 AM
T0211,"String Hoppers, Dhal, Dried Fish",2025-11-16 11:58 AM
T0212,"Red Rice, Fish, Chop Suey",2025-11-16 11:58 AM
T0213,"String Hoppers, Chicken Curry, Fried Egg, Fried Fish, Coconut Sambol",2025-11-16 11:59 AM
T0214,"White Rice, Chilli Paste, Gotukola, Dhal",2025-11-16 11:59 AM
T0215,"Red Rice, Fish Ambul Thiyal, Brinjal Moju, Coconut Sambol, Papadam",2025-11-16 12:00 PM
T0216,"Fried Rice, Mallum, Papadam, Gotukola, Coconut Sambol, Pol Sambol",2025-11-16 12:00 PM
T0217,"Fried Rice, Brinjal Moju, Papadam, Chicken Curry, Jackfruit",2025-11-16 12:00 PM
T0218,"String Hoppers, Devilled Chicken, Pol Sambol, Fried Fish, Mallum",2025-11-16 12:00 PM
T0219,"Fried Rice, Brinjal Moju, Papadam, Dhal, Fried Egg",2025-11-16 12:00 PM
T0220,"String Hoppers, Dhal, Pol Sambol, Fried Fish, Chicken Curry",2025-11-16 12:01 PM
T0221,"Fried Rice, Pol Sambol, Papadam, Fried Egg",2025-11-16 12:01 PM
T0222,"White Rice, Dried Fish, Chicken Curry, Fish, Jackfruit, Pol Sambol",2025-11-16 12:01 PM
T0223,"Fried Rice, Fried Egg, Papadam, Fish, Pol Sambol",2025-11-16 12:02 PM
T0224,"White Rice, Potato Tempered, Coconut Sambol, Chop Suey, Fish",2025-11-16 12:02 PM
T0225,"String Hoppers, Fish Ambul Thiyal, Dhal, Mallum",2025-11-16 12:02 PM
T0226,"Red Rice, Gotukola, Potato Tempered",2025-11-16 12:02 PM
T0227,"Fried Rice, Mallum, Coconut Sambol, Dhal, Chicken Curry",2025-11-16 12:02 PM
T0228,"Red Rice, Dhal, Brinjal Moju, Chicken",2025-11-16 12:02 PM
T0229,"Fried Rice, Devilled Chicken, Coconut Sambol, Pumpkin, Fish Ambul Thiyal, Jackfruit",2025-11-16 12:03 PM
T0230,"White Rice, Fish, Dried Fish",2025-11-16 12:03 PM
T0231,"String Hoppers, Chicken, Fish, Dried Fish",2025-11-16 12:03 PM
T0232,"White Rice, Coconut Sambol, Chicken Curry, Pumpkin, Chicken, Fried Egg",2025-11-16 12:03 PM
T0233,"Red Rice, Brinjal Moju, Dried Fish, Fried Fish",2025-11-16 12:03 PM
T0234,"Fried Rice, Fried Egg, Pumpkin, Papadam",2025-11-16 12:03 PM
T0235,"Red Rice, Brinjal Moju, Fried Fish, Chicken, Devilled Chicken",2025-11-16 12:03 PM
T0236,"White Rice, Chicken Curry, Pol Sambol",2025-11-16 12:03 PM
T0237,"White Rice, Kiri Hodi, Potato Tempered, Dried Fish, Chicken Curry",2025-11-16 12:03 PM
T0238,"Red Rice, Kiri Hodi, Brinjal Moju",2025-11-16 12:04 PM
T0239,"White Rice, Jackfruit, Chicken Curry, Gotukola, Brinjal Moju",2025-11-16 12:04 PM
T0240,"Red Rice, Fried Egg, Pumpkin, Chop Suey, Devilled Chicken",2025-11-16 12:05 PM
T0241,"White Rice, Mallum, Brinjal Moju",2025-11-16 12:06 PM
T0242,"White Rice, Papadam, Devilled Chicken, Coconut Sambol, Chicken Curry",2025-11-16 12:06 PM
T0243,"String Hoppers, Mallum, Fish, Pumpkin, Brinjal Moju",2025-11-16 12:06 PM
T0244,"Fried Rice, Chicken, Kiri Hodi, Gotukola, Papadam, Devilled Chicken",2025-11-16 12:07 PM
T0245,"String Hoppers, Chop Suey, Papadam, Gotukola, Jackfruit",2025-11-16 12:07 PM
T0246,"White Rice, Fried Fish, Dried Fish, Papadam, Devilled Chicken, Coconut Sambol",2025-11-16 12:07 PM
T0247,"String Hoppers, Dhal, Chop Suey, Devilled Chicken",2025-11-16 12:07 PM
T0248,"White Rice, Jackfruit, Papadam, Dried Fish, Chicken",2025-11-16 12:07 PM
T0249,"String Hoppers, Chop Suey, Fried Fish, Fish Ambul Thiyal",2025-11-16 12:07 PM
T0250,"String Hoppers, Potato Tempered, Fried Egg, Chilli Paste, Jackfruit",2025-11-16 12:07 PM
T0251,"Red Rice, Gotukola, Pumpkin, Chicken",2025-11-16 12:07 PM
T0252,"White Rice, Pumpkin, Kiri Hodi",2025-11-16 12:07 PM
T0253,"String Hoppers, Chilli Paste, Chop Suey, Kiri Hodi, Fish, Pumpkin",2025-11-16 12:07 PM
T0254,"Red Rice, Chicken, Brinjal Moju",2025-11-16 12:07 PM
T0255,"Red Rice, Fried Egg, Pumpkin, Devilled Chicken, Papadam, Pol Sambol",2025-11-16 12:07 PM
T0256,"Red Rice, Chilli Paste, Pumpkin, Jackfruit, Fried Fish",2025-11-16 12:08 PM
T0257,"Red Rice, Chilli Paste, Potato Tempered, Chop Suey",2025-11-16 12:08 PM
T0258,"White Rice, Chicken, Fried Egg, Chilli Paste, Chicken Curry, Gotukola",2025-11-16 12:08 PM
T0259,"String Hoppers, Fried Egg, Kiri Hodi",2025-11-16 12:08 PM
T0260,"Fried Rice, Pol Sambol, Potato Tempered, Gotukola, Kiri Hodi, Dried Fish",2025-11-16 12:09 PM
T0261,"White Rice, Devilled Chicken, Fish Ambul Thiyal, Papadam, Chop Suey, Fried Egg",2025-11-16 12:09 PM
T0262,"String Hoppers, Fish Ambul Thiyal, Chop Suey, Chicken Curry, Papadam, Chicken",2025-11-16 12:10 PM
T0263,"Fried Rice, Coconut Sambol, Fried Egg, Dried Fish, Dhal",2025-11-16 12:10 PM
T0264,"Red Rice, Chop Suey, Dhal, Chilli Paste, Mallum",2025-11-16 12:11 PM
T0265,"Fried Rice, Fried Fish, Chicken Curry",2025-11-16 12:11 PM
T0266,"White Rice, Dhal, Fish, Papadam, Chilli Paste",2025-11-16 12:11 PM
T0267,"White Rice, Pumpkin, Coconut Sambol",2025-11-16 12:11 PM
T0268,"Fried Rice, Mallum, Fish, Devilled Chicken",2025-11-16 12:11 PM
T0269,"White Rice, Fish, Fried Fish, Jackfruit",2025-11-16 12:11 PM
T0270,"White Rice, Fish Ambul Thiyal, Brinjal Moju",2025-11-16 12:11 PM
T0271,"White Rice, Kiri Hodi, Potato Tempered, Fried Fish, Pumpkin, Dried Fish",2025-11-16 12:12 PM
T0272,"Red Rice, Fish Ambul Thiyal, Devilled Chicken",2025-11-16 12:12 PM
